name,details,ratings,reviews_count,positive_feedbacks,negetive_feedbacks
Team Lease,Recruitment | Bangalore / Bengaluru +386 other locations,3.9,4k,Work Life Balance,Promotions / Appraisal
Bajaj Auto,Automobile | Pune +308 other locations,3.8,4k,,Promotions / Appraisal
Lenskart,Internet | New Delhi +231 other locations,3.2,3.9k,,Promotions / Appraisal | Company Culture | Work Satisfaction
Thermax Limited,Industrial Machinery | Pune +239 other locations,4.2,3.9k,Job Security | Company Culture | Work Life Balance,
Berger Paints,Chemicals | Kolkata +334 other locations,3.7,3.9k,,Promotions / Appraisal | Company Culture | Work Life Balance
Macleods Pharmaceuticals,Pharma | Mumbai +126 other locations,3.6,3.9k,Job Security,Promotions / Appraisal | Company Culture | Work Satisfaction
LG Electronics,Consumer Electronics & Appliances | Pune +290 other locations,3.9,3.9k,Job Security | Skill Development / Learning,Promotions / Appraisal
Aakash Educational Services,Education & Training | New Delhi +240 other locations,3.2,3.9k,,Promotions / Appraisal | Work Life Balance | Job Security
Tata Communications,Telecom | Pune +98 other locations,3.9,3.9k,Work Life Balance | Job Security | Company Culture,Promotions / Appraisal | Salary & Benefits
VE Commercial Vehicles,Automobile | Indore +151 other locations,3.9,3.8k,Job Security | Skill Development / Learning,Promotions / Appraisal | Salary & Benefits
Royal Enfield,Automobile | Chennai +364 other locations,4.2,3.8k,Work Life Balance | Skill Development / Learning | Company Culture,Promotions / Appraisal
John Deere,Industrial Machinery | Pune +149 other locations,4.0,3.8k,Company Culture | Work Life Balance | Skill Development / Learning,Promotions / Appraisal
Jubilant Foods Works,Hospitality | New Delhi +251 other locations,3.7,3.8k,,Promotions / Appraisal | Work Life Balance | Work Satisfaction
HDFC Ergo General Insurance,Insurance | Mumbai +317 other locations,3.9,3.8k,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
Oyo Rooms,Internet | Gurgaon / Gurugram +119 other locations,3.1,3.8k,,Job Security | Company Culture | Work Satisfaction
DCB Bank,Banking | Mumbai +335 other locations,3.8,3.8k,Work Life Balance,Promotions / Appraisal
Jindal Steel Limited,Iron & Steel | Angul +170 other locations,3.9,3.8k,Skill Development / Learning,Promotions / Appraisal
Hindalco Industries,Metals & Mining | Sambalpur +122 other locations,4.2,3.7k,Job Security | Work Life Balance | Skill Development / Learning,
Reliance Communications,Telecom | Mumbai +464 other locations,4.0,3.7k,Work Life Balance | Skill Development / Learning | Company Culture,Promotions / Appraisal
Cummins,Industrial Machinery | Pune +110 other locations,4.3,3.7k,Company Culture | Work Life Balance | Skill Development / Learning,
State Street Corporation,Financial Services | Bangalore / Bengaluru +33 other locations,3.6,3.7k,,Promotions / Appraisal | Company Culture | Work Satisfaction
RBL Bank,Banking | Mumbai +272 other locations,3.5,3.7k,,Promotions / Appraisal | Company Culture | Work Satisfaction
Carelon Global Solutions,Software Product | Bangalore / Bengaluru +18 other locations,3.8,3.7k,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
XpressBees,Internet | Pune +468 other locations,4.2,3.7k,Work Life Balance | Company Culture | Work Satisfaction,
Bank of America,Banking | Gurgaon / Gurugram +34 other locations,4.2,3.7k,Job Security | Work Life Balance | Company Culture,Promotions / Appraisal
Publicis Sapient,IT Services & Consulting | Bangalore / Bengaluru +44 other locations,3.4,3.6k,,Promotions / Appraisal | Job Security | Work Satisfaction
Subros,Auto Components | Noida +87 other locations,3.8,3.6k,Job Security | Skill Development / Learning | Company Culture,Salary & Benefits | Promotions / Appraisal
PVR Inox,Media & Entertainment | New Delhi +150 other locations,3.9,3.6k,,Promotions / Appraisal
Alembic Pharmaceuticals,Pharma | Vadodara +183 other locations,3.9,3.6k,Salary & Benefits | Work Life Balance,
Viatris,Pharma | Hyderabad / Secunderabad +80 other locations,4.1,3.6k,Salary & Benefits | Job Security | Work Life Balance,
American Express,Financial Services | Gurgaon / Gurugram +51 other locations,4.1,3.6k,Company Culture | Work Life Balance | Job Security,Promotions / Appraisal
Kogta Financial India Limited,NBFC | Jaipur +245 other locations,4.7,3.6k,Company Culture | Work Life Balance | Work Satisfaction,
Pidilite Industries,Chemicals | Mumbai +294 other locations,4.2,3.6k,Job Security | Work Life Balance | Company Culture,Promotions / Appraisal
Automatic Data Processing (ADP),Software Product | Hyderabad / Secunderabad +39 other locations,3.9,3.6k,Job Security | Company Culture | Work Life Balance,Promotions / Appraisal
Escorts Kubota Limited,Automobile | Faridabad +149 other locations,4.1,3.5k,Work Life Balance | Company Culture | Skill Development / Learning,Promotions / Appraisal
Sodexo,Facility Management Services | Mumbai +154 other locations,4.0,3.5k,Company Culture | Work Life Balance | Skill Development / Learning,Promotions / Appraisal
PNB MetLife,Insurance | New Delhi +410 other locations,3.4,3.5k,,Company Culture | Work Satisfaction | Job Security
Maersk,Logistics | Chennai +48 other locations,4.0,3.5k,Company Culture | Work Life Balance,Promotions / Appraisal
Aditya Birla Sun Life Insurance,Insurance | Mumbai +473 other locations,4.0,3.5k,Work Life Balance | Company Culture | Job Security,
Samvardhana Motherson Group,Auto Components | Noida +91 other locations,3.7,3.5k,Job Security,Promotions / Appraisal | Company Culture | Work Life Balance
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances | Mumbai +158 other locations,3.9,3.5k,Job Security,Promotions / Appraisal
